COUNTY,LAT,LON,Forest area (ha),Total area (ha),Percentage Forest Cover
Baringo,0.66925198,35.94646535,274157,1091197,25.12
Bomet,-0.726294583,35.29859759,33927,267196,12.70
Bungoma,0.74928524,34.64046088,45049,303123,14.86
Elgeyo-Marakwet,0.387443678,34.19363149,113145,301805,37.49
Embu,0.802218811,35.53656315,26242,282315,9.30
Garissa,-0.603974378,37.62650133,309264,4359107,7.09
Homa Bay,-0.488910345,40.19927854,12334,475925,2.59
Isiolo,-0.542809394,34.35899687,1356626,2538173,53.45
Kajiado,1.010443078,38.54215312,156260,2189803,7.14
Kakamega,-2.121383578,36.90884219,29656,302246,9.81
Kericho,0.403683464,34.74451115,54150,229962,23.55
Kiambu,-0.295732906,35.31407001,42118,254473,16.55
Kilifi,-1.068706066,36.82356426,96115,1252382,7.67
Kirinyaga,-3.175732013,39.68668755,30515,147530,20.68
Kisii,-0.524746296,37.31986811,3456,132112,2.62
Kisumu,-0.774603757,34.77472298,1184,267694,0.44
Kwale,-0.169458695,34.83520347,44984,826391,5.44
Laikipia,-1.491038531,38.40692102,64794,954386,6.79
Lamu,-4.183149527,39.1904119,209674,618507,33.90
Machakos,0.323604123,36.77172786,20218,604411,3.35
Makueni,-2.078682544,40.88286068,106746,817225,13.06
Mandeta,-1.279512307,37.41267603,78914,2598251,3.04
Marsabit,-2.1576841,37.78824557,129396,7602995,1.70
Meru,3.436469488,40.73881017,128028,699038,18.31
Migori,2.978658787,37.56953611,2029,316458,0.64
Mombasa,0.166779241,37.76403705,1462,28566,5.12
Murang'a,-0.989536844,34.36334531,36729,252651,14.54
Nairobi,-4.02125622,39.6508827,5506,70806,7.78
Nakuru,-0.809590537,37.03272252,69563,748920,9.29
Nandi,-1.29341347,36.86818927,74810,284655,26.28
Narok,-0.463675432,36.07847909,298828,1794207,16.66
Nyamira,0.186688887,35.11048767,6568,90905,7.23
Nyandarua,-1.254790332,35.57632921,60310,327034,18.44
Nyeri,-0.6427324,34.96465956,126883,333623,38.03
Samburu,-0.322077823,36.48286916,269325,2102371,12.81
Siaya,-0.342923589,36.95647813,1480,354212,0.42
Taita Taveta,1.316854626,37.11839407,62113,1711824,3.63
Tana River,-0.062129889,34.2476417,243320,3915365,6.21
Tharaka-Nithi,-3.434733994,38.418602,50066,258007,19.40
Trans Nzoia,-1.526366604,39.4178692,40241,249526,16.13
Turkana,-0.207061218,37.87029727,285962,7035330,4.06
Uasin Gishu,1.050954809,34.95741998,25714,340711,7.55
Vihiga,3.424849196,35.43575846,5501,56300,9.77
Wajir,0.526085892,35.32201167,110144,5664861,1.94
West Pokot,0.076265796,34.72232304,78357,933689,8.39
Busia,1.808137624,40.03498564,1848,182336,1.01
Kitui,1.740106171,35.24384681,215340,3043650,7.08
