GEOID10,Pop2010,SqMi
01029,14972,561.0773315
01031,49948,680.5001831
01037,11539,666.4384766
01039,37765,1043.8742676
01041,13906,610.8997803
01045,50251,562.5929565
01049,71109,778.7202759
01053,38319,952.8903809
01057,17241,629.3614502
01061,26790,578.9047852
01067,17302,568.3478394
01075,14564,605.6200562
01077,92709,721.1892700
01079,34339,717.0028076
01001,54571,604.4135742
01003,182265,1680.0211182
01005,27457,904.5112915
01007,22915,626.3263550
01009,57322,650.6290283
01011,10914,625.1925659
01023,13859,921.0704346
01025,25833,1252.6120605
01027,13932,605.9094238
01033,54428,622.0696411
01035,13228,852.7214355
01043,80406,755.0075073
01047,43820,993.7638550
01051,79303,657.0294800
01055,104430,548.7127686
01059,31704,646.6987305
01063,9045,659.8939819
01065,15760,656.3805542
01071,53227,1127.0056152
01073,658466,1123.8455811
01085,11299,725.0522461
01087,21452,613.2163086
01089,334811,812.7044067
01091,21027,982.6636353
01095,93019,623.2106934
01097,412992,1271.8225098
01099,23068,1034.5616455
01107,19746,889.9703369
01109,32899,673.0120850
01113,52947,648.3634644
01115,83593,653.6679077
01117,195085,809.5103149
01119,13763,913.0264893
01121,82291,760.2792969
01129,17581,1088.7066650
01131,11670,907.3439941
01013,20947,777.7847290
01015,118572,612.3003540
01017,34215,602.2921753
01019,25989,599.8854980
01021,43643,700.7124023
01123,41616,766.3317871
01125,194656,1351.2698975
01127,67023,805.1550293
01133,24484,631.9261475
01101,229363,799.8618164
01069,101547,581.5617676
01081,140247,616.0379639
01083,82782,607.2542114
01093,30776,743.5387573
01103,119490,599.0317383
01105,10591,724.0092163
01111,22913,583.9924927
02013,3141,7248.1376953
02016,5561,4672.9262695
02020,291826,1746.6964111
02050,17013,42321.4257813
02060,997,538.1290283
02068,1826,12774.1767578
02070,4847,19275.2910156
02090,97581,7445.5776367
02105,2150,7901.9487305
02110,31275,2844.6228027
02122,55400,16605.7246094
02130,13477,5175.9042969
02164,1631,26351.8593750
02170,88995,24999.3183594
02180,9492,23783.9453125
02185,9430,89856.6015625
02188,7523,36901.8125000
02220,8881,3164.0817871
02240,7029,25055.9863281
02270,7459,18099.2265625
02275,2369,2680.5847168
02290,5588,147804.7812500
02195,3815,3487.8208008
02198,5559,4279.9824219
02230,968,456.6601868
02261,9636,35283.4218750
02282,662,7988.2128906
02100,2508,2390.8798828
02150,13592,7027.5136719
04001,71518,11218.8496094
04003,131346,6218.6103516
04005,134421,18661.7773438
04007,53597,4795.6230469
04009,37220,4640.4379883
04011,8437,1848.3497314
04012,20489,4513.3193359
04013,3817117,9223.8945313
04015,200186,13470.1533203
04017,107449,9959.8808594
04019,980263,9188.5556641
04021,375770,5374.6269531
04023,47420,1238.0386963
04025,211033,8128.1523438
04027,195751,5519.1035156
05049,12245,620.3251343
05051,96024,734.6768188
05053,17853,632.9036255
05055,42090,579.6574097
05059,32923,622.0132446
05065,13696,584.0028687
05071,25540,682.7723999
05075,17415,592.1752319
05077,10424,618.6544800
05001,19019,1033.7475586
05003,21853,940.5502930
05005,41513,586.7291870
05007,221339,884.0599365
05011,11508,652.9191284
05013,5368,632.4588623
05017,11800,690.9829102
05019,22995,882.9350586
05021,16083,641.3819580
05029,21273,566.6405029
05037,17870,622.2463379
05039,8116,668.0377197
05041,13008,819.2286377
05045,113237,664.0504150
05057,22609,741.2088623
05061,13789,595.2600098
05063,36647,771.5902710
05067,17997,641.4985352
05069,77435,913.8531494
05073,7645,545.0446777
05081,13171,564.6899414
05085,68356,802.8416748
05091,43462,637.6887817
05093,46480,919.5279541
05095,8149,621.3430176
05097,9487,800.3280029
05099,8997,620.6948853
05103,26120,739.7800903
05107,21757,727.7794189
05109,11291,614.1148071
05117,8715,675.5886230
05121,17969,656.0105591
05131,125744,546.0905762
05133,17058,581.2575684
05139,41639,1055.5590820
05145,77076,1042.1848145
05147,7260,593.9780273
05009,36903,601.9125366
05015,27446,638.7083130
05023,25970,591.8983154
05025,8689,598.7052612
05027,24552,766.8051758
05031,96443,712.6170654
05033,61948,604.1823120
05035,50902,636.4024658
05043,18509,835.6201782
05047,18125,619.6856689
05143,203065,952.4014282
05149,22185,948.9928589
05079,14134,572.2198486
05083,22353,731.4111938
05087,15717,837.0545044
05089,16653,640.3926392
05101,8330,823.1713257
05105,10445,560.6567993
05111,24583,763.6946411
05113,20662,862.5662231
05115,61754,830.7392578
05119,382748,807.6676636
05123,28258,642.5115356
05125,107118,730.3793335
05127,11233,898.0133057
05129,8195,668.5314941
05135,17264,606.3565063
05137,12394,609.5159302
05141,17295,724.2496338
06035,34895,4720.6054688
06049,9686,4203.5156250
06075,805235,49.7018661
06083,423895,2750.0190430
06091,3240,962.2863159
06095,413344,887.5396118
06101,94737,608.5263062
06105,13786,3207.4799805
06111,823318,1858.0740967
06115,72155,643.8319702
06033,64665,1329.4238281
06071,2035210,20106.1738281
06087,262382,446.5723572
06001,1510271,756.6347046
06003,1175,743.0402832
06005,38091,605.9583130
06007,220000,1677.1125488
06009,45578,1037.0063477
06011,21419,1156.2631836
06013,1049025,760.3751831
06015,28610,1014.5754395
06017,181058,1786.3560791
06019,930450,6011.1083984
06021,28122,1326.2972412
06023,134623,3611.1066895
06025,174528,4481.0747070
06027,18546,10227.9033203
06029,839631,8162.5000000
06031,152982,1391.2943115
06037,9818605,4099.4501953
06039,150865,2152.7707520
06041,252409,545.4067383
06043,18251,1463.0052490
06045,87841,3514.0429688
06047,255793,1978.6906738
06051,14202,3131.9541016
06053,415057,3314.0085449
06055,136484,788.5800171
06057,98764,974.1405029
06059,3010232,799.7561646
06061,348432,1502.6234131
06063,20007,2613.3291016
06065,2189641,7303.9501953
06067,1418788,994.0275879
06069,55269,1390.6041260
06073,3095313,4258.3779297
06077,685306,1426.5052490
06079,269637,3322.7673340
06081,718451,461.1979370
06085,1781642,1304.1051025
06089,177223,3847.4765625
06093,44900,6347.4643555
06097,483878,1589.8283691
06099,514453,1514.4947510
06103,63463,2962.9868164
06107,442179,4838.6816406
06109,55365,2274.4016113
06113,200849,1023.4466553
08053,843,1123.6032715
08061,1398,1785.7061768
08063,8270,2161.5729980
08071,15507,4774.8940430
08073,5467,2585.7749023
08075,22709,1845.0721436
08079,712,877.7968140
08085,41276,2242.4162598
08087,28159,1293.5871582
08089,18831,1270.2150879
08095,4442,687.9958496
08099,12551,1644.3682861
08101,159063,2399.3552246
08103,6666,3222.6835938
08105,11982,912.5892944
08001,441603,1183.9006348
08003,15445,723.2592163
08005,572003,805.5687866
08007,12084,1354.9090576
08009,3788,2557.2360840
08011,6499,1541.1361084
08013,294567,740.3443604
08015,17809,1015.1630859
08019,9088,396.1795654
08023,3524,1230.5233154
08027,4255,739.6442261
08029,30952,1148.4962158
08031,600158,154.6632233
08035,285465,842.8676758
08037,52197,1692.3623047
08049,14843,1869.5549316
08051,15324,3259.5639648
08055,6711,1593.2523193
08057,1394,1621.2203369
08059,534543,773.9988403
08065,7310,383.5558472
08067,51334,1699.7286377
08069,299630,2633.6445313
08077,146723,3341.2133789
08081,13795,4750.4594727
08083,25535,2040.5659180
08091,4436,542.0812378
08093,16206,2211.0646973
08097,17148,972.9824219
08107,23509,2368.3259277
08109,6108,3170.0939941
08111,699,388.3217773
08113,7359,1288.7829590
08117,27994,619.2817993
08014,55889,33.5839424
08017,1836,1781.5126953
08021,8256,1290.9207764
08025,5823,799.5668335
08033,2064,1067.2534180
08039,23086,1850.5795898
08041,622263,2129.5148926
08043,46824,1533.9317627
08045,56389,2956.0053711
08047,5441,150.2668610
08115,2379,549.3526611
08119,23350,558.9135132
08121,4814,2523.8632813
08123,252825,4017.4082031
08125,10043,2368.6066895
09001,916829,652.8581543
09003,894014,750.5292358
09005,189927,944.5241699
09007,165676,385.7853394
09009,862477,620.8901978
09011,274055,696.3005371
09013,152691,417.1017761
09015,118428,521.4812012
10001,162310,598.8131714
10003,538479,447.3287048
10005,197145,979.0088501
11001,601723,68.3371353
12013,14625,574.3767700
12015,159978,745.0939941
12019,190865,643.4856567
12021,321520,2054.2236328
12027,34862,639.2562256
12035,95696,507.4149475
12067,8870,547.8090820
12081,322833,796.0592651
12085,146318,677.6815796
12087,73090,1192.2086182
12091,180822,995.9552002
12099,1320134,2226.9995117
12105,602095,2010.4494629
12107,74364,826.9520874
12109,190039,673.6940918
12111,277789,615.0089722
12043,12884,986.9442139
12049,27731,638.3710327
12051,39140,1189.7124023
12053,172778,499.5585632
12059,19927,489.1596680
12061,138028,539.8563843
12001,247336,968.8179321
12003,27115,589.0324707
12005,168852,883.0336304
12007,28520,300.5655823
12009,543376,1295.1414795
12011,1748066,1224.8013916
12029,16422,720.3156128
12031,864263,850.0338745
