STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME,LAT,LON,Pop2010
21,217,516955,21217,Taylor,37.3651061,-85.3266981,24512
21,121,516907,21121,Knox,36.8874758,-83.8556299,31883
21,71,516882,21071,Floyd,37.5582827,-82.7403367,39451
21,125,516909,21125,Laurel,37.1132678,-84.1193951,58849
21,35,516864,21035,Calloway,36.6209783,-88.2740857,37191
21,107,516900,21107,Hopkins,37.3110702,-87.5421956,46920
21,5,516849,21005,Anderson,38.0053963,-84.9864171,21421
21,97,516895,21097,Harrison,38.4434891,-84.3327961,18846
21,103,516898,21103,Henry,38.4515607,-85.1200786,15416
21,13,516853,21013,Bell,36.7226801,-83.6810456,28691
21,137,516915,21137,Lincoln,37.4572565,-84.6580738,24742
21,111,516902,21111,Jefferson,38.1895327,-85.6576239,741096
21,117,516905,21117,Kenton,38.9304771,-84.533492,159720
21,227,516960,21227,Warren,36.995634,-86.4235786,113792
21,15,516854,21015,Boone,38.9745952,-84.7314442,118811
21,101,516897,21101,Henderson,37.7925421,-87.5725767,46250
21,63,516878,21063,Elliott,38.1164254,-83.0975408,7852
21,233,516963,21233,Webster,37.5200207,-87.6850951,13621
21,19,516856,21019,Boyd,38.3600037,-82.6814063,49542
21,73,516883,21073,Franklin,38.234919,-84.8687863,49285
21,51,516872,21051,Clay,37.1644658,-83.7107629,21730
21,129,516911,21129,Lee,37.6053832,-83.7184968,7887
21,157,516922,21157,Marshall,36.882017,-88.3327524,31448
21,95,516894,21095,Harlan,36.8592233,-83.2214968,29278
21,53,516873,21053,Clinton,36.7291241,-85.1534986,10272
21,87,516890,21087,Green,37.2696366,-85.5614029,11258
21,171,516932,21171,Monroe,36.714077,-85.713508,10963
21,191,516942,21191,Pendleton,38.6907649,-84.3540405,14877
21,61,516877,21061,Edmonson,37.2278556,-86.217778,12161
21,135,516914,21135,Lewis,38.5320508,-83.3733027,13870
21,139,516916,21139,Livingston,37.2095173,-88.363426,9519
21,231,516962,21231,Wayne,36.8020113,-84.8304404,20813
21,169,516931,21169,Metcalfe,36.990394,-85.6295543,10099
21,79,516886,21079,Garrard,37.6301619,-84.5458557,16912
21,75,516884,21075,Fulton,36.5526198,-89.1877226,6813
21,237,516965,21237,Wolfe,37.7437739,-83.4950678,7355
21,109,516901,21109,Jackson,37.4033198,-84.0206858,13494
21,205,516949,21205,Rowan,38.2058938,-83.425969,23333
21,127,516910,21127,Lawrence,38.0744587,-82.7383054,15860
21,181,516937,21181,Nicholas,38.3371317,-84.0255542,7135
21,183,516938,21183,Ohio,37.4778588,-86.844871,23842
21,187,516940,21187,Owen,38.4996026,-84.8415094,10841
21,185,516939,21185,Oldham,38.4000461,-85.4560593,60316
21,215,516954,21215,Spencer,38.0269758,-85.321525,17061
21,153,516920,21153,Magoffin,37.6989535,-83.0697158,13333
21,7,516850,21007,Ballard,37.0511196,-89.0091777,8249
21,115,516904,21115,Johnson,37.8492599,-82.8306393,23356
21,89,516891,21089,Greenup,38.5635956,-82.9338325,36910
21,141,516917,21141,Logan,36.8598288,-86.8814363,26835
21,151,516919,21151,Madison,37.7235278,-84.277008,82916
21,123,516908,21123,Larue,37.5455181,-85.6972088,14193
21,143,516918,21143,Lyon,37.0239759,-88.0833909,8314
21,179,516936,21179,Nelson,37.8031876,-85.4659548,43437
21,85,516889,21085,Grayson,37.4585771,-86.3440113,25746
21,17,516855,21017,Bourbon,38.2025623,-84.2098602,19985
21,93,516893,21093,Hardin,37.6958356,-85.9631827,105543
21,57,516875,21057,Cumberland,36.7842273,-85.3934992,6856
21,173,516933,21173,Montgomery,38.0381379,-83.9123375,26499
21,161,516924,21161,Mason,38.5940683,-83.8280523,17490
21,145,516925,21145,McCracken,37.0536877,-88.7123775,65565
21,229,516961,21229,Washington,37.7542085,-85.1754162,11717
21,43,516868,21043,Carter,38.3095549,-83.0488208,27720
21,3,516848,21003,Allen,36.7507703,-86.192458,19956
21,219,516956,21219,Todd,36.8403384,-87.1836416,12460
21,11,516852,21011,Bath,38.1522485,-83.7376405,11591
21,49,516871,21049,Clark,37.9701332,-84.144974,35613
21,83,516888,21083,Graves,36.7233435,-88.6498974,37121
21,39,516866,21039,Carlisle,36.857726,-88.975757,5104
21,91,516892,21091,Hancock,37.8433887,-86.7927726,8565
21,223,516958,21223,Trimble,38.6181934,-85.3551709,8809
